instagram_comments,offensive_language,offensiveness_levels,antisemitism,apology_for_the_dictatorship,fatphobia,homophobia,partyism,racism,religious_intolerance,sexism,xenophobia,offensive_&_non-hate_speech,non-offensive,specialist_1_hate_speech,specialist_2_hate_speech,specialist_3_hate_speech
🤣🤣🤣🤣🇧🇷🇧🇷🇧🇷🇧🇷#joicetraidora,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CHEGA DE TANTA CORRUPÇÃO TANTA ROUBALHEIRA TANTA INCOMPETÊNCIA TANTA MALDADE TANTA FALSIDADE,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que absurdo, essa Joice é uma vergonha.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Com sempre, Lula só perde, o que NUNCA ganhou..... kkkkkkkk",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mostre o seu trabalho e esforço e seja leal ao povo que te elegeu e larga essa TRAIDORA pra lá com as baixarias dela .,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"As máscaras caindo, espero que o povo esteja acompanhando.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Ao exorcizar a sala, os capetas só deram “meia-volta” ... 🤣🤣🤣🤣",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#joicetraidora,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Como ela pode fazer isso? Muito falsa,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#joicetraira,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tá surtando!!!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Não discute com esquerdista, são sem noção",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
#LulaVaiMorrerNaCadeia #JoiceTraidora #JoiceCorrupta #JoiceContraoPovo #JoiceOportunista #JoiceForaDaPolitica,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Dupla personalidade... ou desequilibrada mesmo... 3, 2, 1... hauahuahaua",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Tá mais pra demônio, mesmo.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa raca ordinaria nao tem o que fazer. Ganham uma fortuna as custas do povo. Ademais, dona Zambelli. A Joice defendeu o Bolsonaro em muitas ocasioes. Voces sao uns vadios desocupados que perdem o tempo fazendo provocacoes o tempo todo.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Maior traidora que já vi, depois do ladrão.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Joice mente tão bem que até mesmo ela acredita na própria mentira. Triste fim. Triste 😔,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa baixaria que vc está fazendo me faz ter uma certeza: igual ou pior que ela!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Que bom que,as máscaras estão caindo rápido.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Só que Carla você tem princípios e não se vendeu desta forma vergonhosa.Não se compara você a está traíra,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa Joicehasselmannoficial é muito infantil 🤦‍♀️!Só dando tiro no pé,o Eduardo deveria se candidatar para prefeito de São Paulo aí ela iria ver o que é mexer com direita RAIZ como ela mesma diz..uma surra de votos!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Difícil, pai e filha mal caráter....",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Maldosa heim kkkkk😂,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Kkkkk #joicetraidora,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tá explicado! Traíras do Brasil! Tá no DNA 💩🤮,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Lembrando q o caráter da zambelli não é o mesmo na loyce, é diferente, zambelli tô contigo, Joyce é traíra",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Apoiado @carla.zambelli tudo farinha do mesmo saco!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
😂😂😂 lula foi ministro??? Credo eu não sabia 😂😂😂😂,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lula foi ministro??? Credo eu não sabia,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Joice é uma VERGONHA.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@carla.zambelli . @joicehasselmannoficial Essa vergonha é o dia todo, vocês parecem duas adolescentes, vão trabalhar, foi pra isso que o povo as elegeu..",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cada dia mais Gorda!😂😂😂,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
#forabolsonaro corrupto canalha,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
😂😂😂😂😂😂😂 ridículos,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
São duas cobras. Prontas para dar o bote,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mas a Pepa é fichinha perto do Dick Vigarista !!! \o/ \o/ \o/,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"Nosso carater, não igualar como os esquerdistas fazem, mais mostrar q somos um povo sivilizado, pronto para ajudar nosso presidente Jair Bolsonaro, Feliz natal a todos!",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣💩💩💩💩💩💩💩💩💩🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮. Os três são farinha do mesmo saco!!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa traíra vai se juntar com a esquerda radical em 3,2,1 ....",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Joice está com mania de grandeza, só que dá pior espécie, ela, pra mim foi uma DECEPÇÃO GRANDE! Ela traiu e dividiu !",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa mulher não presta , muito pretensiosa e traira",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@joicehasselmannoficial é vergonha do nosso Brasil, o tiro saiu pela culatra em querida . #38 #aliancapelobrasil",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Muito vaidosa e cheia de si... vai trapacear quem puder.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Isso é uma nojeira...se crítica o governo é contra, o que ela fala é muita falcidade...esse tipo de soberba acaba na lama",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Postagem ridícula Carla, vai trabalhar",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Tenho nojo desse Joice nunca gostei sempre tinha algo dizendo que não era uma boa pessoa , tá aí essa víbora de 💩",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Está onde merece essa traidora!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nojo dessa nossa política😎,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa mulher tá louca 🤣🤣🤣🤣,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esta se afundando cada dia que passa, peppa pig está indo pelo ralo 💩💩💩💩💩💩",True,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pegou o virus do molusc a Pepa ta doidaaaaaaa,True,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False
A roliça rebelde 😂😂😂😂😂,True,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"Força Carla Zambelli, essa traíra da Joice nos envergonha .",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ela está provando do próprio veneno. E vida que anda.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A Joyce só pode estar surtando!!! 😱😱😱,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Essa Peppa FDP, vai pagar junto com todos os outros canalhas!! #joicehalssemannpeppafdp",True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Dois derrotados,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Uai @carla.zambelli não teria sido os”não Bivaristas” ? Não acho que a postagem tenha a ver com “falta de serviço”. Como atingida de forma torpe por essa mulher descarada dona @joicehasselmannoficial , vc tem todo o dever de por os pingos nos is e mostrar sim que é Joice. O partido tá pouco ou nada importando.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Ocupando o mesmo antro que o condenado é péssimo sinal ,quase uma mensagem subliminar.",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Kkkkkkk e um pior que o outro mitei,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Tudo tá melhorando, mas ainda tem muitos petralhas espalhados em estatais, autarquias escolas, universidades ( universidades aí já estamos falando em infestação), mas vamos ter fé, pois é pra frente que se anda! #bolsonaro2022🇧🇷",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"O gigante adormecido criminosamente pelos petistas, e facistas comunistas, está acordando para tornar o Brasil a quarta potencia mundial. EUA, CHINA, RUSSIA E BRASIL. O PROTETOR DA AMERICA LATINA CONTRA OS COMUNISTAS DESTRUIDORES DE POVOS E PAÍSES.",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
SÓ A ESQUERDOPATIA NÃO VÊ ISSO...,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Quem não está com o governo me desculpe e corrupto,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Gasolina com preço surreal e no mercado as coisas cada vez mais caro... E políticos cada vez mais rico. Só safado,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Sensacional! Aproveito para perguntar como anda o projeto de criminalização do comunismo, pois não aguento mais ver e escutar essa gentalha, adoraria vê-los enjaulados.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Agora só precisa o presidente e sua prole parar de falar tanta bosta.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Maravilha! Bolsonaro 2022!!!!! Vamos mudar o rumo de nossas vidas pelo trabalho, pela honra, pela honestidade e pela ética. Apoio total ao governo. Vamos defender nosso país da quadrilha comunista.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
E tem cretino que ainda ouve e da destaque ao que a esquerda e o ladrao do Lula fala. Este só tem ódio dentro dele. Muito ódio,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
#euapoiobolsonaro #somostodosbolsonaro #bolsonaronossopresidente #bolsonarotemrazão #bolsonaro2022 #brasilcontragilmarmendes #gilmarmendesvaicair #foragilmar #foragilmarmendes #foratoffoli #foramarcoaurelio #forarosaweber #foralewandowski #foraalexandredemoraes #foracármenlúcia #prisãoemsegundainstânciasim #prisaoem2ainstanciasim #foraalcolumbre #foradavialcolumbre #foramaia #forarodrigomaia #lulacriminoso #lulanacadeia #lulaemcelacomum #lulanuncamais #euapoioalavajato #euapoiopacoteanticrime #pacoteanticrimejá #euapoiosergiomoro #euapoiodeltandallagnol #euapoiopauloguedes #euapoioabrahamweintraub #euapoiodamaresalves #euapoiotarcisiogomes #forafelipesantacruz #euapoiobiakicis #euapoiocarlazambelli #euapoioexercitobrasileiro #euapoioasforçasarmadasbrasileiras #fundãoeleitoralnão #fundoeleitoralnao #fundoeleitoralnão #forajoicehasselmann,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Mas, os LIXOS da esquerda insistem em querer enganar as pessoas nenos esclarecidas!!",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Muito bem Alexandre, continue a nos representar na imprensa brasileira, porque parte dela não sei que pensa, mas querem a desgraça do Brasil, será porque foi cortado alguns privilégios que tinham? A imprensa que você de privilégios de governos é porque não tem capacidade e nem qualidade. No Brasil a faze cubana, chavista e comunista tá com os dias contados e se Deus quiser vai zerar e estas desgraças, como Lula, José Dirceu, Dilma e seus comparsas vai sumir do mapa igual os dinosauros pré histórico,",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Cortei inúmeras páginas que não é oficial, tem comunista que entra nesses grupos que fazem campanha até para não comer carne, é bom aí sobra e os produtores exportam mais ,E a greve segunda feira?.",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
OS PESSIMISTAS SÃO DA ALA CANHOTINHA😂😂😂,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Esse Alexandre é um especialista de respeito mesmo. Veio da merda da Globo pra estrelar ao lado da direita.👏🇧🇷🇧🇷🇧🇷,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Onde anda o luladrão que depois da saída sumiu o molusco pra ver essa notícia aquele fdp,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
@bolsonarosp o câncer do noblat sempre fala no blog dele tic tac sobre a chata da Marielle !envolvendo vocês,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@bolsonarosp o lixo ,verme ,podre ,câncer ,azar ,ser das trevas ,da morte ,encosto ,infeliz ,infernal do noblat sempre fala no blog dele tic ,tac sobre a chata da Marielle !envolvendo vocês",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@bolsonarosp o serpente do diabo ,da morte do noblat sempre fala no blog dele tic tac envolvendo vocês",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"@bolsonarosp o besta fera do noblat sempre fala tic tac no blog dele envolvendo vocês !com essa corja maligna do congresso ,STF ,mídia , jornalistas como esses diabos do noblat ,Fábio panunzio ,Reinaldo azedo ,Raquel sheirabosta ,José Simão ,George marques ,todos da globo enfim que perseguem @jairmessiasbolsonaro ,esquerda só teria solução com uma intervenção divina @bolsonarosp !Deus tinha que fazer uma limpeza com essa corja maligna @bolsonarosp",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
E a esquerdalha PIRA..🤣😂😄😂😂🤣,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
mentira fauso fora,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Este é o motivo dele ter levado um pé na bunda da globolixo,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PETISTA = BOSTA,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Continuo contra! Pode ser negra, polonesa, freira, macumbeira ou miss Piraquara. Sou contra!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Os racistas e facistas estão mordendo as costas e tendo calafrios de inveja....Que se cortem! 😘😘😘,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ela não é a mais bonita do mundo. É só um concurso e muito mimimi,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Na terra em que essa mulher africana é bonita as trans são mulheres. Surrealismo clássico.,True,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False
Se tivesse ganhado uma branca seria contra né cara de pau.,True,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Ai vem a hipocrisia, sou contra concurso de beleza pois mulher não é objeto, ok mas se a vencedora for Negra, ou qualquer representante de uma minoria ai tudo bem relativo isso.",True,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Enquanto isso o véio do baú dava um show de misoginia e racismo.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mais de qq forma ta muito estereotipada, vale pela representação mas falta pela veracidade",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Ainda bem que não foi no SBT, com certeza , lá, o resultado seria alterado pelo dono.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Comédia mesmo, se fosse uma mulher branca o concurso seria opressor, racista, homofóbico, elitista, etc ... Mas como essa linda mulher ganhou e tem a cor negra, agora o concurso é justo, honesto, representa as feminazis, etc ... Que discurso mais contraditório.",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"A @manueladavila é contra esteriótipos, mas fez lipo quando era gorda e hj ela diz pra vc mulher se aceitar como vc é! Kkkkkkkk",True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Porque sempre dizer se é Negro ou Branco? A mulher é linda. Título mais que merecido!👏👏👏 Chega desta coisa do PT de dividir os povos! Não cola mais!,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Mimimimimi,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
é muito mimimi,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Tipico da esquerda: é contra até convir, ai “abre exceção”!!!",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Parece q tudo é ruim a menos q tenha um negro ou um lgbt no meio,True,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False
Aqui não farroupilha!!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Nunca vai ser , nunca será presidente do nosso país. Vai se acostumando pq daqui uns dias não será eleito nem a presidente do grémio. 😚",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mano o Haddad parece um rato kkkk,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Qual é o mérito farroupilha? Porongos? Até o véio da havan ganhou essa medalha, qual é o critério para recebê-la?",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mérito de que essa carniça,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Garoto, era pra vc ser o nosso presidente e não essa besta que os “cidadãos de bem” elegeram!",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse cara não trabalha não???,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vamos deixar a traidora da Marta de lado. Unir jamais.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Meu estado cada vez mais decadente... Isso chega ser ridículo...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Por isso q o RS ta falido !!!!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Isso explica. Decadência do RS.. uma pena!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Isso é um verme,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ser repugnante #ForaBolsonaro,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
processo nessa gentalha fascista!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Demônio👊,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mitowwwww....Micoooooooooo !#bozoenganador,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bandido 👀,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bolsonaro é uma vergonha!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ele é louco mesmo,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E ainda tem pessoas defendendo esse idiota,o triste é que a gente sofre junto com essas pessoas 😒",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse mauco ainda vai fazer muito estrago,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
😡😡😡 Gente o que o povo tá esperando pra tirar esse Satanás do poder meu Deus,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Depois que o PT roubou tudo, foi o que sobrou!!!",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Miserável calhorda mentiroso,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Isto sempre ficou muito claro, Bolsolixo é contra os trabalhadores e o povo de bem num modo geral, ele apóia os milicianos, pronto a fazer qualquer desgraça contra o povo.",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fale-nos sobre roubar dinheiro de aposentados. Você tem know-how!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Ei Bolsonaro vai tomar no c...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Desgraça que foi escolhida pelo povo para atrazar suas vidas,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse miseravel nunca trabaalhou o tempo que passou como parlamentar so ia fazer baixaria e dormir sem se preocupar sempre no final do mês estava lá seus vencimentos sem fazer por ondem.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
😢😢🍊🍊👏👏maldito,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
👏👏👏👏o capeta sendo capeta. Normal.,True,2,False,False,False,False,False,False,False,False,False,True,False,True,False,False
PODE BOTAR TUDO SUE BC TIRA DO TRABALHADOR NO CU DA SUA MAE SEU FULEIRO ASSASSINO DE MARIELLE,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Será,,Kkkk,,,,vcs mentem tanto mais tanto,,,,,parabéns Bolsonaro senta lenha",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esse Presidente é totalmente Perverso e incompetente. Quem tá por Trás de toda essa desgraça ao Povo Brasileiro, é Banqueiro Ministro. O Povo está sendo usurpado por uma Quadrilha intitulada de GOVERNO, com o total apoio do Congresso Nacional.",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vagabundo pilantra,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Canalhas!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E ninguém faz nada, cadê o povo nas ruas??? Esse merda está tirando todos os direitos dos trabalhadores e ninguém reclama. . .não é possível!",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mais uma mentira propagada pelo filha da Mentira!,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O vôMITO é mesmo o satanás!!!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bandido,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"E os gados aplaudem as retiradas dos seus próprios direitos,n dá pra entender isso!!!",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Querida Gleisi Hoffmann,infelizmente o nosso povo está acostumado a ser manipulado ,seja na política,na religião,em casa ou no ambiente de trabalho,mediante todas as provas de que esse é o pior presidente que o Brasil já teve( pois consegue ser pior até dos que presidiram na época da Ditadura) , ainda assim esse povo calhorda o chamam de meu Capitão, de Mito, enquanto que eu peço desculpas ao Diabo se o chamo de Demônio",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Pra quem votou em BolsoNero meus parabéns ,vc é burro ,idiota ,alienado agora faz arminha e aceita que dói menos",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse bandido não gosta de rouba,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Esse safado deveria roubar só de quem votou nele não era, só que infelizmente quer roubar de todos trabalhadores",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
A todos os BOLSOLIXOS QUE VOTAM NELE,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Desgoverno dos infernos.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Este é o lixo do lixo,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Isso é pouco pra os otário q votou nele.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Vão continuar apoiando esse Bolsomerda, bando de trouxas?",True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Esse cara é um infeliz ruim,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fdp,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Canalha,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quem rouba o pagador de impostos são vocês que desviaram dinheiro pra todo canto esquerda raça maldita,True,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False
"Que beleza de governo para os trabalhadores!! Era isso o que vocês da imbecil direita, que também são trabalhadores queriam?",True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Infeliz,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pilantra,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nojo🤮,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Sfd,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse é um miserável que entrou na presidência pra acabar com o Brasil e com a classe que realmente trabalha! FORA TRASTE! FORA COISO!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bolsonaro na petralhada🤣🤣🤣,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vota numa praga dessas!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bem feito kkkkk Parabéns para vocês que elegeram éssa desgraça. 😠😠😠😠😠,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#bolsonarofdp,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O que vem desse palhaço nada me surpreende eu só digo uma coisa parabéns para quem votou nesse despreparado...,True,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False
bozo pesadelo do pobre TRABALHADOR!@!!,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ALGUÉM PODERIA ME INFORMAR SE ESSE COISO É GENTE OU UM DEMÔNIO ENCORPORADO?,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Este homem é o CÃO em forma de serhumaninho 😂😂😂,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tenho nojo desse demónio! Que o senhor: Deus ti repreendam santanista!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O meu Deus tirar esse bolsonaro da presidência do Brasil esse homem diabólico tem tirado o direito dos trabalhadores brasileiros. Amará ele no inferno meu Deus o bolsonaro.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deveria descontar só de quem votou nesse presidente incompetente bruxonaro.......,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BOLSORATO,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Esse sujeito é filho do Satanás.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cala esse bueiro de falar merda sua safada,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Governo golpista 😠😠😠,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
#CANALHAS,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
O que mais falta para esse canalha roubar do povo? Pior presidente da história.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Que merda é essa???,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Mentira isso... Larga a mão de serem safados e Vagabundos, vocês que criaram muita coisa agora estão com graça....",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True
É pilantra.,True,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Patriota queimando a amazônia? Cristão apoiando assassino? A continha toda fechada. Covarde.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Esse demônio tem que sair logo bolsomerda 💩💩💩,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Desgraçado fdp,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deve ter muitos bolsoburros se rasgando!!!!!!,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Isso é um chorume 🤬🤬💩💩💩,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É o pior,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É melhor Jair arrumando mais cu pra tomar,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vagabundo.,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Esse bandido tem que cair fora,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Que pesadelo!! Que desgoverno! Que lixo este bolsofake!!😢😢,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Kkkkkkkkk, só diota não vê",True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pnc,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
